Sezione;Faccioli Sind.;Faccioli Liste;Melotti Sind.;Melotti Liste;Dall'Oca Sind.;Dall'Oca Liste;Totale voti Sindaci;Totale Voti Liste;Schede Bianche;Schede nulle;Voti nulli;Sch. contestate;Vot.Maschi;Vot.Femmine;Votanti;Iscritti
1;172;155;139;110;376;372;687;637;1;10;0;0;331;367;698;1165
1;(25.04%);(24.33%);(20.23%);(17.27%);(54.73%);(58.4%);(98.42%);(91.26%);(0.14%);(1.43%);0%;0%;(47.42%);(52.58%);(59.91%);
2;165;151;161;137;343;345;669;633;0;6;0;0;323;352;675;1067
2;(24.66%);(23.85%);(24.07%);(21.64%);(51.27%);(54.5%);(99.11%);(93.78%);0%;(0.89%);0%;0%;(47.85%);(52.15%);(63.26%);
3;191;175;135;119;319;313;645;607;7;6;0;0;314;344;658;1035
3;(29.61%);(28.83%);(20.93%);(19.6%);(49.46%);(51.57%);(98.02%);(92.25%);(1.06%);(0.91%);0%;0%;(47.72%);(52.28%);(63.57%);
4;184;169;155;134;326;323;665;626;1;6;0;0;330;342;672;1012
4;(27.67%);-27%;(23.31%);(21.41%);(49.02%);(51.6%);(98.96%);(93.15%);(0.15%);(0.89%);0%;0%;(49.11%);(50.89%);(66.4%);
5;107;93;70;58;203;203;380;354;1;7;0;0;200;188;388;1317
5;(28.16%);(26.27%);(18.42%);(16.38%);(53.42%);(57.34%);(97.94%);(91.24%);(0.26%);(1.8%);0%;0%;(51.55%);(48.45%);(29.46%);
6;182;164;155;128;290;286;627;578;2;4;0;0;307;326;633;1052
6;(29.03%);(28.37%);(24.72%);(22.15%);(46.25%);(49.48%);(99.05%);(91.31%);(0.32%);(0.63%);0%;0%;(48.5%);(51.5%);(60.17%);
7;127;111;119;101;238;239;484;451;2;10;0;0;240;256;496;807
7;(26.24%);(24.61%);(24.59%);(22.39%);(49.17%);(52.99%);(97.58%);(90.93%);(0.4%);(2.02%);0%;0%;(48.39%);(51.61%);(61.46%);
8;118;109;124;114;313;298;555;521;4;4;0;0;277;286;563;832
8;(21.26%);(20.92%);(22.34%);(21.88%);(56.4%);(57.2%);(98.58%);(92.54%);(0.71%);(0.71%);0%;0%;(49.2%);(50.8%);(67.67%);
9;119;110;208;170;279;283;606;563;1;13;0;0;295;325;620;940
9;(19.64%);(19.54%);(34.32%);(30.2%);(46.04%);(50.27%);(97.74%);(90.81%);(0.16%);(2.1%);0%;0%;(47.58%);(52.42%);(65.96%);
10;136;127;147;115;283;287;566;529;3;8;0;0;279;298;577;933
10;(24.03%);(24.01%);(25.97%);(21.74%);-50%;(54.25%);(98.09%);(91.68%);(0.52%);(1.39%);0%;0%;(48.35%);(51.65%);(61.84%);
11;152;137;110;96;329;319;591;552;1;13;0;0;295;310;605;1014
11;(25.72%);(24.82%);(18.61%);(17.39%);(55.67%);(57.79%);(97.69%);(91.24%);(0.17%);(2.15%);0%;0%;(48.76%);(51.24%);(59.66%);
12;172;163;108;91;287;277;567;531;2;4;0;0;286;287;573;964
12;(30.34%);(30.7%);(19.05%);(17.14%);(50.62%);(52.17%);(98.95%);(92.67%);(0.35%);(0.7%);0%;0%;(49.91%);(50.09%);(59.44%);
13;172;148;128;102;319;320;619;570;3;5;0;0;291;336;627;1031
